X,Y,solid.E (Pa),ht.kxx (W/(m*K)),u (m),v (m),solid.sxx (N/m^2),solid.syy (N/m^2),solid.sxy (N/m^2),T (K),ht.tfluxx (W/m^2),ht.tfluxy (W/m^2),"d(solid.sx, x)+d(solid.sxy, y) (N/m^3)","d(solid.sxy, x)+d(solid.sy, y) (N/m^3)"
0.0399999999999778,0.0,10,1.0,0.0136871439619865,0.0,-2.2130111666785206,-3.941716949559997,-2.047941280601286e-05,0.964146571192804,0.9050220662736024,1.6885843600822348e-05,-0.237605774862341,-0.5575702029479056
0.0401437922099777,0.0135263498154263,10,1.0,0.0137314930089207,0.0013989404407043,-2.2154954998315723,-3.947869429654681,0.0235741511905001,0.9640773282911208,0.9036714527006252,-0.009001568341893,-0.238433163166391,0.0469914057609621
0.0266666666666441,0.0,10,1.0,0.0092415972798172,0.0,-2.196434921953358,-4.04266237197586,-2.8462402935250283e-05,0.9761640083417522,0.8975969216554063,6.753985776930538e-06,-0.1575797157551074,-0.3001912700533685
0.0267182963678435,0.0134804037844649,10,1.0,0.00925595155089,0.0013258398919637,-2.1992275151712493,-4.046947479914738,0.0122481080729838,0.9761584491942592,0.8961124622589212,-0.0060514536754438,-0.1416714291431461,0.0355606938023314
0.0,0.0,10,1.0,0.0,0.0,-2.186171629421038,-4.178760331583248,0.0,1.0,0.891599068768727,0.0,-0.5558919361916034,-0.1261752675973436
0.0133333333333105,0.0,10,1.0,0.0046725922123989,0.0,-2.188491869338378,-4.119764960292093,-1.918299499162975e-05,0.988101992751188,0.893102584802449,1.949945925616703e-06,-0.0798024328508411,-0.1645497273822317
0.0,0.0133333333333333,10,1.0,0.0,0.0012658305769732,-2.188882843071387,-4.181174413526016,-8.386658964162208e-05,1.0,0.8900935573913568,0.0,-0.5382507458943939,0.0078994964056461
0.0133463754577722,0.0134120524310781,10,1.0,0.0046752473997825,0.0012840405807863,-2.191274510395784,-4.12269602053296,0.0051040152859672,0.9881106232597028,0.8915878259628938,-0.0030248268086303,-0.0684271521147937,0.0113406127359561
0.0533333333333114,0.0,10,1.0,0.0179803953849671,0.0,-2.24349618660616,-3.807939379949049,-8.014839031371722e-06,0.9520116225100782,0.9152257763596624,3.10361958008043e-05,-0.2664651464025392,-0.9287280026483656
0.0536238951140541,0.01350940581881,10,1.0,0.018072328626688,0.0015133002079418,-2.245205055803808,-3.815581665475633,0.0413317024748752,0.9518247217547,0.9141912932537322,-0.0116946535069581,-0.3054832467740691,-0.0044476998039585
0.0666666666666451,0.0,10,1.0,0.0220796621479423,0.0,-2.295176835468272,-3.6307456767799935,-2.57913014613467e-05,0.9397241749213896,0.9278986961644335,4.22956123786733e-05,-0.1573009793592477,-1.29230716193312
0.0671195180756644,0.0133818705693137,10,1.0,0.0222222339507087,0.0016792884043789,-2.296265766669836,-3.6379211313963102,0.0663157523354978,0.9393966005804084,0.9273784725111244,-0.0138422749825825,-0.2157134960863138,-0.1195931852016609
0.0,0.0266666666666666,10,1.0,0.0,0.0025283249902973,-2.1959933118304478,-4.188404813944899,-0.00015561852115299869,1.0,0.8855695568034705,0.0,-0.5092400834022166,-0.0083885811759455
0.0133334715150233,0.0268324038096718,10,1.0,0.0046663062341121,0.0025644619440099,-2.1987276354644,-4.1315999243006925,0.0102917861805952,0.9881831500743782,0.8870126380262127,-0.006075974551126,-0.0373915301653708,-0.001159398781005
0.0799999999999787,0.0,10,1.0,0.0259291594037214,0.0,-2.375325367159638,-3.401454296919951,-7.937893231407704e-05,0.9272547909049486,0.9425161331871124,4.261249140324885e-05,0.1130738141884366,-1.407981464197905
0.0805673599785444,0.0131433045493807,10,1.0,0.0261035837898241,0.0019053959012542,-2.377010238342905,-3.405098374350745,0.0954974236754988,0.926819611870192,0.942598653941178,-0.0151652543723374,0.0885961357684337,-0.1824113555206862
0.0,0.0399999999999999,10,1.0,0.0,0.0037827976505184,-2.204099232097023,-4.200812738397399,-0.00019944679042244848,1.0,0.8780170932876016,0.0,-0.5211085288190815,-0.0626448382797191
0.0132722799626276,0.0402642615746707,10,1.0,0.0046421026691729,0.0038360642219444,-2.207775502957808,-4.146524670079462,0.0162629758165438,0.9883391747695148,0.8793286395793554,-0.0091125587668784,0.0059189434279001,-0.0594716542824813
0.0933333333333124,0.0,10,1.0,0.0294638921200401,0.0,-2.4868861252407304,-3.118407667984305,-0.00011119685265313647,0.9145825156454148,0.9583292735937264,3.1602722605494904e-05,0.4419278650273179,-1.0721841307170572
0.0939328019674714,0.0128655196719648,10,1.0,0.029640430413031,0.0021953607877405,-2.4909110432243504,-3.1157778560949216,0.1217870549605553,0.9141078957697408,0.9589404865183158,-0.0155549700311546,0.4807145975123899,-0.1082013806668514
0.0,0.0533333333333333,10,1.0,0.0,0.0050208304877273,-2.206678012135006,-4.220024681838758,-0.00020847975168464855,1.0,0.8674739338681889,-7.105427357601002e-15,-0.6343986624960176,-0.1369268783724793
0.013145550020212,0.0536917706662406,10,1.0,0.004605152628333,0.0050887704412328,-2.2120030356408105,-4.168561479042344,0.0246871129705697,0.9885916695161248,0.8685399257137865,-0.0120018536386778,0.0282470888247486,-0.1557174279468449
0.106666666666646,0.0,10,1.0,0.0326225144510371,0.0,-2.6240977663497533,-2.7916233952522926,-6.30405766762466e-05,0.9016973784131797,0.9744400615357875,1.5855708468848206e-05,0.6453698610070218,-0.3208042184929346
0.1072288462922116,0.0126249087457875,10,1.0,0.0327767414579613,0.0025397300493391,-2.63125123771896,-2.7816636638076826,0.1367998043937306,0.9012445591866772,0.9754119580168544,-0.0150836991447648,0.7146205929598906,0.052723536134212
0.0,0.0666666666666666,10,1.0,0.0,0.0062264651534469,-2.1938212026353803,-4.249936922912935,-0.00020236095184314215,1.0,0.8541029375911695,-7.105427357601002e-15,-0.8470390018747749,-0.162124470483006
0.0129742961324632,0.0671042986989981,10,1.0,0.0045763839529085,0.0063061616219074,-2.200973337760112,-4.201135865304437,0.0377513971571185,0.9889172529564324,0.8547960458304552,-0.0145444538979079,-0.0082808991954656,-0.2130690362136655
0.1199999999999796,0.0,10,1.0,0.0353646623556353,0.0,-2.7720266088029315,-2.443225437814672,5.6911795230038095e-05,0.8886013897042855,0.989951985244538,1.8395917193991809e-06,0.6058564148665608,0.5461575118577149
0.120488634335759,0.0124509471655795,10,1.0,0.0354840924596727,0.002911039075149,-2.781213204417841,-2.427098147414412,0.1354087077542843,0.8882041571578498,0.9911083072966812,-0.0139252641733885,0.6492438093297634,0.1816207735128054
0.0,0.0799999999999999,10,1.0,0.0,0.0073720796754315,-2.153620282625349,-4.296552211758236,-0.00020264967517625784,1.0,0.8382826236229046,-7.105427357601002e-15,-1.0360524318020532,-0.0641690004098047
0.0127801415969572,0.0804728560564498,10,1.0,0.0045798690310982,0.00745830266588,-2.1615498481887703,-4.2504754325824,0.0562623736007417,0.9892889929173924,0.8385182413435902,-0.0164750485258139,-0.0825779201645198,-0.1207126803393032
0.1108421052631567,0.098,10,1.0,0.0325838945362437,0.0225634282090927,-3.7660812468161016,-1.104128731105294,0.7336439828364472,0.9048482191249764,1.1158559759318791,-0.1636322651897493,-89.32413588354065,167.68014104293678
0.1108842861366996,0.0860049231757731,10,1.0,0.0341355829608625,0.0185947037144352,-3.451647113579005,-2.4941063336852443,1.480037448226668,0.9028680222062536,1.0406882498232828,-0.1522353471490349,-29.28174549425154,50.62435371703804
0.1236842105263146,0.098,10,1.0,0.0340930370549388,0.0269348532724489,-2.6628689179804423,-1.0980409720515958,0.3031129935357518,0.8907634727895835,1.093211952728935,-0.1113917103586297,8.361836647118583,-0.3992776023781774
0.1234976142903075,0.085911330291592,10,1.0,0.035704480998977,0.0226420819488076,-3.2054568952273144,-1.368669448482262,0.6866599550434487,0.8896096538658685,1.0599651386773117,-0.1104413273141065,-3.4568325896080605,-30.272083581000967
0.1333333333333133,0.0,10,1.0,0.0376838566846569,0.0,-2.911880702228313,-2.101568943107164,0.0001828008171313712,0.8753074389013921,1.004132097626524,-7.432789813188734e-06,0.3644704260346869,1.1736406478992405
0.1337386910680106,0.0123377907815607,10,1.0,0.0377664080847743,0.0032715502550222,-2.9206514363607217,-2.0821698909451003,0.1186129398993206,0.874976145930905,1.0053305765912337,-0.0123024566105397,0.3586893614072517,0.1917247751112616
0.1365263157894726,0.098,10,1.0,0.0359981193565583,0.0296836575579406,-2.535975965255388,-1.0237551197744166,0.1898754543940865,0.876757486962135,1.088456171917424,-0.0825349016710999,2.152683206675492,3.2207843046039546
0.1362545244208094,0.0858313512721403,10,1.0,0.0371739687015315,0.0253802328799914,-2.9451236123537963,-1.182011629402564,0.3440682400677911,0.8760405549181994,1.0667664384579467,-0.0825733421035355,0.240216526064922,-3.0691036305957087
0.0,0.0933333333333333,10,1.0,0.0,0.0084171503378108,-2.07601921451758,-4.365534400134488,-0.0002111072961204806,1.0,0.8206703340602521,-7.105427357601002e-15,-0.9904619620951975,0.1657932921880314
0.0126107839755154,0.0938057029498632,10,1.0,0.004645858222584,0.0085048519984134,-2.082436387559869,-4.322917672540437,0.0777248360869232,0.9896564921927892,0.8204121754754022,-0.0175754367879943,-0.1086129421025918,0.1500212197457824
