"X","Y","solid.E (Pa)","ht.kxx (W/(m*K))","u (m)","v (m)","solid.sxx (N/m^2)","solid.syy (N/m^2)","solid.sxy (N/m^2)","T (K)","ht.tfluxx (W/m^2)","ht.tfluxy (W/m^2)","d(solid.sx, x)+d(solid.sxy, y) (N/m^3)","d(solid.sxy, x)+d(solid.sy, y) (N/m^3)"
0.11,0,10,1,0.033347875476798294,0,-2.662530817675318,-2.705732088584587,1.9075318315848913E-4,0.8984427069741352,0.9783340055272447,1.3936141495918264E-5,-0.154280024535133,0.02280696087688881
0.12,0,10,1,0.03536466235563917,0,-2.7700671426394257,-2.4423856666011092,3.4940719799417296E-5,0.8886013897042655,0.9899294484467163,2.7240427501231835E-6,0.11850119506100931,0.39693077868692905
0.13,0,10,1,0.03714281004650031,0,-2.8750992401452575,-2.1833400087800046,2.4466361274818514E-4,0.8786486060725317,1.0005822043043198,-1.8403727981564089E-6,-0.6755477803643846,1.0446259697913527
0.14,0,10,1,0.0386925544442053,0,-2.9670995186956493,-1.938543531682288,1.6652850466455284E-4,0.868592541712435,1.0103230598195694,-5.587842682942455E-6,-0.08352919356217114,1.354239059541448
0.15,0,10,1,0.04003342877671893,0,-3.0472304109370674,-1.7196006710092306,1.1633358310345278E-4,0.8584437795255258,1.0190987192129342,-9.431856238251157E-6,1.1367449759883135,1.3319010031599023
0.16,0,10,1,0.04119144919601005,0,-3.114624964710379,-1.5317140203513118,2.4271240366755198E-4,0.8482139979612767,1.0268592200032458,-1.2513629144450533E-5,2.234280349379694,1.0882373781406274
0.17,0,10,1,0.042192644928851254,0,-3.1549865862689037,-1.3704341499628514,4.027693370105385E-5,0.8379142560518098,1.0330891618901243,-9.287411575797933E-6,-1.1941135989093707,1.0823901648427465
0.18,0,10,1,0.043061860777005787,0,-3.1844043653255776,-1.2415563937896374,-4.012890551305595E-5,0.8275555114763947,1.0383340023156578,-7.681338027262243E-6,-0.027791664925700843,0.7244769390568304
0.19,0,10,1,0.04382360834385318,0,-3.2052198048937495,-1.1428835341672479,-4.952796053622967E-7,0.8171491696850581,1.04262413143978,-6.5942380516048615E-6,0.7657527701664923,0.41215090988161895
0.2,0,10,1,0.04449874183157624,0,-3.2183007772108585,-1.070960023936565,4.955743802676365E-5,0.8067060768842165,1.045990022918886,-5.1684273927321556E-6,1.252892558719155,0.18973667651276735
0.21,0,10,1,0.04510382468436089,0,-3.2178159325127558,-1.0202149477634779,-3.943777246141221E-5,0.7962358904118756,1.0480472715492921,-2.281202924336867E-6,-0.6202766267327113,0.1417825048716732
0.22,0,10,1,0.04565289843939952,0,-3.213494282613511,-0.9918659981429097,-2.5880245582485462E-5,0.785747961460518,1.0492576040675416,-2.6967272791317664E-7,0.013484631379990342,0.058570693088477704
0.23,0,10,1,0.046159500447942134,0,-3.2060632921265664,-0.9842431599697725,-1.4687027918633622E-5,0.7752521327624475,1.0496286011909177,1.7237480314236109E-6,0.5474222528351129,0.08117746057274065
0.24,0,10,1,0.046636163056344035,0,-3.1952214369206295,-0.9964082728601531,-9.446072085720535E-5,0.7647581906819296,1.0491598149126986,4.543361921370326E-6,-1.0300951184930107,0.06570315087714856
0.25,0,10,1,0.04709444273688057,0,-3.1738234264576386,-1.0255284448937807,-4.028055612136628E-5,0.7542753434955008,1.0474068279831796,5.831939279943299E-6,-0.5421023130240032,0.21002414021680033
0.26,0,10,1,0.047546773703300696,0,-3.1476855687912497,-1.0745407471939812,-5.5121941660702255E-6,0.7438130127541507,1.0447598649401542,6.725855484538641E-6,0.04155783438882743,0.41839870296139287
0.27,0,10,1,0.04800772550512985,0,-3.116072247365177,-1.1441282526509333,-6.633205593686853E-5,0.7333816773008408,1.0411960501761115,7.964469538990215E-6,0.7823099720634308,0.6483863813501262
0.28,0,10,1,0.048493367912789034,0,-3.0775120655786834,-1.2343033767744886,-2.0003476943545443E-4,0.7229922213200188,1.0366951459884177,1.0279389422674853E-5,-1.4037824646974784,0.6178992854942895
0.29,0,10,1,0.04901929176526215,-9.220772438663482E-43,-3.0224241430579575,-1.3401952493204619,-1.0161392120895567E-4,0.7126549779236624,1.030757576147475,6.466413325689757E-6,-0.6619593096336214,0.7530464371398462
0.3,0,10,1,0.049601126018017486,0,-2.9603736306870214,-1.4635152226050878,-1.3574567209440912E-4,0.7023802310285303,1.023890615367236,1.8914469637316933E-6,0.06420512113246613,0.719177493607266
0.31,0,10,1,0.050253503623463286,1.3317862696579585E-43,-2.89198942676068,-1.5995134109954428,-1.682447928462129E-4,0.6921786363403319,1.0161566852415547,-2.891859256948237E-6,0.28140065782357304,0.45795102645531305
0.32,0,10,1,0.050985923552476074,0,-2.8167746916577965,-1.7395841991496896,1.050656406320627E-6,0.6820595096870308,1.0076215566269013,-8.823467936736051E-6,-0.4348238158850011,-0.008550040454595051
0.33,0,10,1,0.051801572766472063,1.1138057173549467E-43,-2.7442515292962177,-1.8780684837519224,-1.0805090106920272E-4,0.6720296551151506,0.998349357749107,-1.7955962759330646E-5,0.27261028613403493,-0.2384341483911196
0.34,0,10,1,0.05269629274251402,0,-2.675707582932948,-2.006290592705429,-1.0589372658059275E-4,0.6620933712356508,0.9888816003995018,-2.536111505224703E-5,0.013603972950556376,-0.6855042100265253
0.35000000000000003,0,10,1,0.05365871686349909,0,-2.614051015964606,-2.1164674683550033,9.769817194565505E-6,0.6522518721074673,0.9795061507199989,-3.094858696073288E-5,-0.8686956574269304,-0.9650770884221411
0.36,0,10,1,0.05467150036353218,0,-2.560875075802108,-2.2042836329104754,5.4758704569015144E-5,0.6425017613617904,0.9704648734423813,-3.7532524551409097E-5,-1.692980297676776,-1.0115694184150554
0.37,0,10,1,0.05571636427976105,0,-2.5277275251540106,-2.2740191004365253,4.2163618903993196E-5,0.632836221541393,0.9626430906370994,-3.280354463797153E-5,0.8181690805643402,-0.8807949669610392
0.38,0,10,1,0.05677547910207989,0,-2.5025648598580537,-2.3218826646279718,6.987671772830704E-5,0.6232452935090551,0.9559374225119939,-2.7914949532285618E-5,-0.020455304570108357,-0.7050756220215506
0.39,0,10,1,0.0578318813385841,0,-2.484114353662256,-2.3511739747959766,4.993976168667411E-5,0.6137152892622023,0.9505241593253544,-2.454693133202568E-5,-0.5052757413796924,-0.5135596779574135
0.4,0,10,1,0.05887204655698786,0,-2.4710644743241366,-2.365637282795249,3.2165949202943325E-5,0.6042300388953787,0.9465259140393769,-2.248030116598371E-5,0.9536618653426534,-0.39881457337469367
0.41000000000000003,0,10,1,0.059885981074391914,0,-2.4683338556566987,-2.3706145704781987,3.4334462140073185E-5,0.5947733728942791,0.9448089250254098,-1.1350319456759905E-5,0.3468602745711187,-0.29697774926788034
0.42,0,10,1,0.06086566719131208,0,-2.467995585332732,-2.3649536923911914,7.63780649324876E-6,0.5853286652645199,0.9446430888538231,-4.265643371785883E-6,-0.008574506658389658,-0.2685413710272075
0.43,0,10,1,0.06180346707754671,0,-2.470509464386388,-2.3499372875254316,-4.213161515391579E-6,0.5758779711926187,0.9459935216434872,8.177499104533581E-7,-0.35340662576879167,-0.3041482969331421
0.44,0,10,1,0.06269184373597089,0,-2.4756050352903904,-2.3249880506050937,2.0688778611644718E-5,0.5664039839794497,0.948826982969905,6.459637603484225E-6,-0.8756639810541692,-0.3899090062742243
0.45,0,10,1,0.06352309909909917,0,-2.490182014394252,-2.2917408259325383,-2.0448314826009112E-5,0.5568915748974487,0.9536548334303316,1.2254716848403291E-5,0.44346790958815685,-0.4290758814446034
0.46,0,10,1,0.06428811679359898,0,-2.5093655294835804,-2.246162088290756,-3.055248586091553E-5,0.5473268532925816,0.9596637352047708,1.56699662725772E-5,0.005299619873524897,-0.5400278004447049
0.47000000000000003,0,10,1,0.06497538998490804,0,-2.5339435167243725,-2.186208524712793,-9.245080902540682E-6,0.5376965687232871,0.9667057003875783,1.840794823593228E-5,-0.6242799593841606,-0.6178401198004825
0.48,0,10,1,0.06557153946905123,0,-2.564508663007862,-2.1103309402669392,-2.8945576872137968E-5,0.5279899637954554,0.9746546512078709,2.0193739139529043E-5,-1.2409169981830468,-0.615808498714976
